,Combat Tasks,,File -> Make a Copy to Edit, Showing:  0/2470, Completed:  0/2470,,,"Last Updated: Feb 24, 2025",
FALSE,FALSE,Brutal Black Dragon,"Brutal, Big, Black and Firey",Kill a Brutal Black Dragon.,Kill Count,2,https://oldschool.runescape.wiki/w/Brutal%2C%20Big%2C%20Black%20and%20Firey,,0
FALSE,FALSE,Bryophyta,Protection from Moss,Kill Bryophyta with the Protect from Magic prayer active.,Mechanical,1,https://oldschool.runescape.wiki/w/Protection%20from%20Moss,,0
FALSE,FALSE,Bryophyta,Fighting as Intended II,Kill Bryophyta on a free to play world.,Restriction,1,https://oldschool.runescape.wiki/w/Fighting%20as%20Intended%20II,,0
FALSE,FALSE,Bryophyta,Preparation Is Key,Kill Bryophyta without suffering any poison damage.,Perfection,1,https://oldschool.runescape.wiki/w/Preparation%20Is%20Key,,0
FALSE,FALSE,Bryophyta,Bryophyta Novice,Kill Bryophyta once.,Kill Count,1,https://oldschool.runescape.wiki/w/Bryophyta%20Novice,,0
FALSE,FALSE,Bryophyta,A Slow Death,Kill Bryophyta with either poison or venom being the final source of damage.,Restriction,1,https://oldschool.runescape.wiki/w/A%20Slow%20Death,,0
FALSE,FALSE,Bryophyta,Bryophyta Champion,Kill Bryophyta 5 times.,Kill Count,2,https://oldschool.runescape.wiki/w/Bryophyta%20Champion,,0
FALSE,FALSE,Bryophyta,Quick Cutter,Kill all 3 of Bryophyta's growthlings within 3 seconds of the first one dying.,Mechanical,2,https://oldschool.runescape.wiki/w/Quick%20Cutter,,0
FALSE,FALSE,Callisto,Callisto Adept,Kill Callisto 10 times.,Kill Count,3,https://oldschool.runescape.wiki/w/Callisto%20Adept,,0
FALSE,FALSE,Callisto,Callisto Veteran,Kill Callisto 20 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Callisto%20Veteran,,0
FALSE,FALSE,Cerberus,Ghost Buster,Kill Cerberus after successfully negating 6 or more attacks from Summoned Souls.,Mechanical,4,https://oldschool.runescape.wiki/w/Ghost%20Buster,,0
FALSE,FALSE,Cerberus,Unrequired Antifire,Kill Cerberus without taking damage from any lava pools.,Perfection,4,https://oldschool.runescape.wiki/w/Unrequired%20Antifire,,0
FALSE,FALSE,Cerberus,Anti-Bite Mechanics,Kill Cerberus without taking any melee damage.,Perfection,4,https://oldschool.runescape.wiki/w/Anti-Bite%20Mechanics,,0
FALSE,FALSE,Cerberus,Cerberus Veteran,Kill Cerberus 75 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Cerberus%20Veteran,,0
FALSE,FALSE,Cerberus,Arooo No More,Kill Cerberus without any of the Summoned Souls being spawned.,Mechanical,5,https://oldschool.runescape.wiki/w/Arooo%20No%20More,,0
FALSE,FALSE,Cerberus,Cerberus Master,Kill Cerberus 150 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Cerberus%20Master,,0
FALSE,FALSE,Chambers of Xeric,Redemption Enthusiast,Kill the Abyssal Portal without forcing Vespula to land.,Mechanical,4,https://oldschool.runescape.wiki/w/Redemption%20Enthusiast,,0
FALSE,FALSE,Chambers of Xeric,Perfectly Balanced,Kill the Vanguards without them resetting their health.,Mechanical,4,https://oldschool.runescape.wiki/w/Perfectly%20Balanced,,0
FALSE,FALSE,Chambers of Xeric,Dancing with Statues,Receive kill-credit for a Stone Guardian without taking damage from falling rocks.,Perfection,4,https://oldschool.runescape.wiki/w/Dancing%20with%20Statues,,0
FALSE,FALSE,Chambers of Xeric,Shayzien Specialist,Receive kill-credit for a Lizardman Shaman without taking damage from any shamans in the room.,Perfection,4,https://oldschool.runescape.wiki/w/Shayzien%20Specialist,,0
FALSE,FALSE,Chambers of Xeric,Cryo No More,Receive kill-credit for the Ice Demon without taking any damage.,Perfection,4,https://oldschool.runescape.wiki/w/Cryo%20No%20More,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric Veteran,Complete the Chambers of Xeric 25 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20Veteran,,0
FALSE,FALSE,Chambers of Xeric,Mutta-diet,Kill the Muttadile without letting her or her baby recover hitpoints from the meat tree.,Mechanical,4,https://oldschool.runescape.wiki/w/Mutta-diet,,0
FALSE,FALSE,Chambers of Xeric,Blizzard Dodger,Receive kill-credit for the Ice Demon without activating the Protect from Range prayer.,Restriction,4,https://oldschool.runescape.wiki/w/Blizzard%20Dodger,,0
FALSE,FALSE,Chambers of Xeric,Undying Raid Team,Complete a Chambers of Xeric raid without anyone dying.,Perfection,4,https://oldschool.runescape.wiki/w/Undying%20Raid%20Team,,0
FALSE,FALSE,Chambers of Xeric,Kill It with Fire,Finish off the Ice Demon with a fire spell.,Restriction,4,https://oldschool.runescape.wiki/w/Kill%20It%20with%20Fire,,0
FALSE,FALSE,Chambers of Xeric,Together We'll Fall,Kill the Vanguards within 10 seconds of the first one dying.,Mechanical,4,https://oldschool.runescape.wiki/w/Together%20We%27ll%20Fall,,0
FALSE,FALSE,Chambers of Xeric,Perfect Olm (Solo),"Kill the Great Olm in a solo raid without taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.",Perfection,5,https://oldschool.runescape.wiki/w/Perfect%20Olm%20%28Solo%29,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric (Solo) Speed-Chaser,Complete a Chambers of Xeric (Solo) in less than 21 minutes.,Speed,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20%28Solo%29%20Speed-Chaser,,0
FALSE,FALSE,Chambers of Xeric,Putting It Olm on the Line,"Complete a Chambers of Xeric solo raid with more than 40,000 points.",Mechanical,5,https://oldschool.runescape.wiki/w/Putting%20It%20Olm%20on%20the%20Line,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric (Trio) Speed-Chaser,Complete a Chambers of Xeric (Trio) in less than 16 minutes and 30 seconds.,Speed,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20%28Trio%29%20Speed-Chaser,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric (5-Scale) Speed-Chaser,Complete a Chambers of Xeric (5-scale) in less than 15 minutes.,Speed,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20%285-Scale%29%20Speed-Chaser,,0
FALSE,FALSE,Chambers of Xeric,Perfect Olm (Trio),"Kill the Great Olm in a trio raid without any team member taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.",Perfection,5,https://oldschool.runescape.wiki/w/Perfect%20Olm%20%28Trio%29,,0
FALSE,FALSE,Chambers of Xeric,A Not So Special Lizard,"Kill the Great Olm in a solo raid without letting him use any of the following special attacks in his second to last phase: Crystal Burst, Lightning Walls, Teleportation Portals or left-hand autohealing.",Mechanical,5,https://oldschool.runescape.wiki/w/A%20Not%20So%20Special%20Lizard,,0
FALSE,FALSE,Chambers of Xeric,Playing with Lasers,Clear the Crystal Crabs room without wasting an orb after the first crystal has been activated.,Perfection,5,https://oldschool.runescape.wiki/w/Playing%20with%20Lasers,,0
FALSE,FALSE,Chambers of Xeric,No Time for Death,Clear the Tightrope room without Killing any Deathly Mages or Deathly Rangers.,Mechanical,5,https://oldschool.runescape.wiki/w/No%20Time%20for%20Death,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric Master,Complete the Chambers of Xeric 75 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20Master,,0
FALSE,FALSE,Chambers of Xeric,Anvil No More,Kill Tekton before he returns to his anvil for a second time after the fight begins.,Mechanical,5,https://oldschool.runescape.wiki/w/Anvil%20No%20More,,0
FALSE,FALSE,Chambers of Xeric,Undying Raider,Complete a Chambers of Xeric solo raid without dying.,Perfection,5,https://oldschool.runescape.wiki/w/Undying%20Raider,,0
FALSE,FALSE,Chambers of Xeric,Stop Drop and Roll,Kill Vasa Nistirio before he performs his teleport attack for the second time.,Mechanical,5,https://oldschool.runescape.wiki/w/Stop%20Drop%20and%20Roll,,0
FALSE,FALSE,Chambers of Xeric,Blind Spot,Kill Tekton without taking any damage.,Perfection,5,https://oldschool.runescape.wiki/w/Blind%20Spot,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric (5-Scale) Speed-Runner,Complete a Chambers of Xeric (5-scale) in less than 12 minutes and 30 seconds.,Speed,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20%285-Scale%29%20Speed-Runner,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric (Solo) Speed-Runner,Complete a Chambers of Xeric (Solo) in less than 17 minutes.,Speed,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20%28Solo%29%20Speed-Runner,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric (Trio) Speed-Runner,Complete a Chambers of Xeric (Trio) in less than 14 minutes and 30 seconds.,Speed,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20%28Trio%29%20Speed-Runner,,0
FALSE,FALSE,Chambers of Xeric,Chambers of Xeric Grandmaster,Complete the Chambers of Xeric 150 times.,Kill Count,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%20Grandmaster,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Dust Seeker,Complete a Chambers of Xeric Challenge mode raid in the target time.,Speed,4,https://oldschool.runescape.wiki/w/Dust%20Seeker,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Immortal Raider,Complete a Chambers of Xeric Challenge mode (Solo) raid without dying.,Perfection,5,https://oldschool.runescape.wiki/w/Immortal%20Raider,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (5-Scale) Speed-Chaser,Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 30 minutes.,Speed,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20%285-Scale%29%20Speed-Chaser,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Solo) Speed-Chaser,Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 45 minutes.,Speed,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20%28Solo%29%20Speed-Chaser,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Immortal Raid Team,Complete a Chambers of Xeric: Challenge mode raid without anyone dying.,Perfection,5,https://oldschool.runescape.wiki/w/Immortal%20Raid%20Team,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM Master,Complete the Chambers of Xeric: Challenge Mode 10 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20Master,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Trio) Speed-Chaser,Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 35 minutes.,Speed,5,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20%28Trio%29%20Speed-Chaser,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Solo) Speed-Runner,Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 38 minutes and 30 seconds.,Speed,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20%28Solo%29%20Speed-Runner,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM Grandmaster,Complete the Chambers of Xeric: Challenge Mode 25 times.,Kill Count,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20Grandmaster,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (Trio) Speed-Runner,Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 27 minutes.,Speed,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20%28Trio%29%20Speed-Runner,,0
FALSE,FALSE,Chambers of Xeric: Challenge Mode,Chambers of Xeric: CM (5-Scale) Speed-Runner,Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 25 minutes.,Speed,6,https://oldschool.runescape.wiki/w/Chambers%20of%20Xeric%3A%20CM%20%285-Scale%29%20Speed-Runner,,0
FALSE,FALSE,Chaos Elemental,Chaos Elemental Adept,Kill the Chaos Elemental 10 times.,Kill Count,3,https://oldschool.runescape.wiki/w/Chaos%20Elemental%20Adept,,0
FALSE,FALSE,Chaos Elemental,The Flincher,Kill the Chaos Elemental without taking any damage from it's attacks.,Perfection,3,https://oldschool.runescape.wiki/w/The%20Flincher,,0
FALSE,FALSE,Chaos Elemental,Hoarder,Kill the Chaos Elemental without it unequipping any of your items.,Mechanical,3,https://oldschool.runescape.wiki/w/Hoarder,,0
FALSE,FALSE,Chaos Elemental,Chaos Elemental Veteran,Kill the Chaos Elemental 25 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Chaos%20Elemental%20Veteran,,0
FALSE,FALSE,Chaos Fanatic,Chaos Fanatic Champion,Kill the Chaos Fanatic 10 times.,Kill Count,2,https://oldschool.runescape.wiki/w/Chaos%20Fanatic%20Champion,,0
FALSE,FALSE,Chaos Fanatic,"Sorry, What Was That?",Kill the Chaos Fanatic without anyone being hit by his explosion attack.,Perfection,2,https://oldschool.runescape.wiki/w/Sorry%2C%20What%20Was%20That%3F,,0
FALSE,FALSE,Chaos Fanatic,Praying to the Gods,Kill the Chaos Fanatic 10 times without drinking any potion which restores prayer or leaving the Wilderness.,Restriction,3,https://oldschool.runescape.wiki/w/Praying%20to%20the%20Gods,,0
FALSE,FALSE,Chaos Fanatic,Chaos Fanatic Adept,Kill the Chaos Fanatic 25 times.,Kill Count,3,https://oldschool.runescape.wiki/w/Chaos%20Fanatic%20Adept,,0
FALSE,FALSE,Commander Zilyana,Commander Showdown,Finish off Commander Zilyana while all of her bodyguards are dead.,Mechanical,3,https://oldschool.runescape.wiki/w/Commander%20Showdown,,0
FALSE,FALSE,Commander Zilyana,Commander Zilyana Adept,Kill Commander Zilyana 50 times.,Kill Count,3,https://oldschool.runescape.wiki/w/Commander%20Zilyana%20Adept,,0
FALSE,FALSE,Commander Zilyana,Commander Zilyana Veteran,Kill Commander Zilyana 100 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Commander%20Zilyana%20Veteran,,0
FALSE,FALSE,Commander Zilyana,Reminisce,Kill Commander Zilyana in a private instance with melee only.,Restriction,4,https://oldschool.runescape.wiki/w/Reminisce,,0
FALSE,FALSE,Commander Zilyana,Moving Collateral,Kill Commander Zilyana in a private instance without attacking her directly.,Restriction,5,https://oldschool.runescape.wiki/w/Moving%20Collateral,,0
FALSE,FALSE,Commander Zilyana,Peach Conjurer,Kill Commander Zilyana 50 times in a privately rented instance without leaving the room.,Stamina,6,https://oldschool.runescape.wiki/w/Peach%20Conjurer,,0
FALSE,FALSE,Commander Zilyana,Animal Whisperer,Kill Commander Zilyana in a private instance without taking any damage from the boss or bodyguards.,Perfection,6,https://oldschool.runescape.wiki/w/Animal%20Whisperer,,0
FALSE,FALSE,Corporeal Beast,Chicken Killer,Kill the Corporeal Beast solo.,Restriction,4,https://oldschool.runescape.wiki/w/Chicken%20Killer,,0
FALSE,FALSE,Corporeal Beast,Hot on Your Feet,Kill the Corporeal Beast without anyone killing the dark core or taking damage from the dark core.,Perfection,4,https://oldschool.runescape.wiki/w/Hot%20on%20Your%20Feet,,0
FALSE,FALSE,Corporeal Beast,Corporeal Beast Veteran,Kill the Corporeal Beast 25 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Corporeal%20Beast%20Veteran,,0
FALSE,FALSE,Corporeal Beast,Finding the Weak Spot,Finish off the Corporeal Beast with a Crystal Halberd special attack.,Restriction,4,https://oldschool.runescape.wiki/w/Finding%20the%20Weak%20Spot,,0
FALSE,FALSE,Corporeal Beast,Corporeal Beast Master,Kill the Corporeal Beast 50 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Corporeal%20Beast%20Master,,0
FALSE,FALSE,Corrupted Hunllef,"3, 2, 1 - Mage",Kill the Corrupted Hunllef without taking damage off prayer.,Perfection,4,https://oldschool.runescape.wiki/w/3%2C%202%2C%201%20-%20Mage,,0
FALSE,FALSE,Corrupted Hunllef,Corrupted Gauntlet Veteran,Complete the Corrupted Gauntlet 5 times.,Kill Count,4,https://oldschool.runescape.wiki/w/Corrupted%20Gauntlet%20Veteran,,0
FALSE,FALSE,Corrupted Hunllef,Defence Doesn't Matter II,Kill the Corrupted Hunllef without making any armour within the Corrupted Gauntlet.,Restriction,5,https://oldschool.runescape.wiki/w/Defence%20Doesn%27t%20Matter%20II,,0
FALSE,FALSE,Corrupted Hunllef,Perfect Corrupted Hunllef,"Kill the Corrupted Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Corrupted Hunllef with the wrong weapon.",Perfection,5,https://oldschool.runescape.wiki/w/Perfect%20Corrupted%20Hunllef,,0
FALSE,FALSE,Corrupted Hunllef,Corrupted Gauntlet Speed-Chaser,Complete a Corrupted Gauntlet in less than 7 minutes and 30 seconds.,Speed,5,https://oldschool.runescape.wiki/w/Corrupted%20Gauntlet%20Speed-Chaser,,0
FALSE,FALSE,Corrupted Hunllef,Corrupted Warrior,Kill the Corrupted Hunllef with a full set of perfected corrupted armour equipped.,Restriction,5,https://oldschool.runescape.wiki/w/Corrupted%20Warrior,,0
FALSE,FALSE,Corrupted Hunllef,Corrupted Gauntlet Master,Complete the Corrupted Gauntlet 10 times.,Kill Count,5,https://oldschool.runescape.wiki/w/Corrupted%20Gauntlet%20Master,,0
FALSE,FALSE,Corrupted Hunllef,Corrupted Gauntlet Speed-Runner,Complete a Corrupted Gauntlet in less than 6 minutes and 30 seconds.,Speed,6,https://oldschool.runescape.wiki/w/Corrupted%20Gauntlet%20Speed-Runner,,0
